tail_number,avg_alt,avg_mph,mean_lat,mean_long,flight_count,manufacturer,model,reg_state,log_flight_count
N1019F,7312.5,460.0,34.56325,-118.1225,2,CESSNA,172N,CALIFORNIA,1.0986122886681098
N101CG,5391.666666666667,359.0,34.606033333333336,-118.12,3,CESSNA,208B,DIST. OF COL.,1.3862943611198906
N101ER,28550.0,460.0,34.5407,-118.596,1,CESSNA,560XL,CALIFORNIA,0.6931471805599453
N101JH,9437.5,460.0,34.734,-118.143,2,CESSNA,210L,CALIFORNIA,1.0986122886681098
N101JT,22875.0,364.0,34.6846,-118.014,1,HONDA AIRCRAFT CO LLC,HA-420,NORTH CAROLINA,0.6931471805599453
N101MX,20443.75,470.0,34.53575,-118.01125,4,GULFSTREAM AEROSPACE,G-V,CALIFORNIA,1.6094379124341003
N101NN,25308.333333333332,477.3333333333333,34.48195,-117.47933333333333,6,AIRBUS INDUSTRIE,A321-231,DELAWARE,1.9459101490553132
N101PG,41400.0,500.0,34.3343,-118.431,1,CESSNA,680,OREGON,0.6931471805599453
N101PV,37575.0,460.0,34.9294,-118.635,1,DASSAULT,FALCON 2000EX,OREGON,0.6931471805599453
N101QS,43087.5,533.0,34.7228,-117.895,2,BOMBARDIER INC,BD-700-1A11,OKLAHOMA,1.0986122886681098
N101RX,36500.0,472.0,34.6278,-117.344,1,ISRAEL AEROSPACE INDUSTRIESLTD,GULFSTREAM G150,NORTH CAROLINA,0.6931471805599453
N101SS,40675.0,516.0,34.6527,-118.093,1,LEARJET INC,60,OREGON,0.6931471805599453
N101TD,15911.111111111111,418.77777777777777,34.59612222222222,-118.13777777777779,9,BOEING,737-72U,INDIANA,2.302585092994046
N101UD,14275.0,361.0,34.6597,-117.804,1,BOMBARDIER INC,BD-700-1A11,FLORIDA,0.6931471805599453
N101VW,7975.0,460.0,34.567,-118.35,1,CESSNA,750,TEXAS,0.6931471805599453
N1020E,22150.0,325.0,34.594,-118.547,1,AERONCA,7AC,nan,0.6931471805599453
N1020EF,21300.0,460.0,34.126,-117.716,1,nan,nan,nan,0.6931471805599453
N1020FV,8350.0,460.0,34.5927,-118.045,1,nan,nan,nan,0.6931471805599453
N1022MH,21816.666666666668,314.0,34.7363,-118.18466666666666,3,nan,nan,nan,1.3862943611198906
N10233P,4525.0,460.0,34.6262,-118.135,1,nan,nan,nan,0.6931471805599453
N10239W,5875.0,305.0,34.676249999999996,-118.131,2,nan,nan,nan,1.0986122886681098
N1023C,15528.125,441.5833333333333,34.620275,-118.09916666666668,24,EMBRAER,EMB-135LR,CALIFORNIA,3.2188758248682006
N1023EY,39050.0,518.0,34.9504,-118.6805,2,nan,nan,nan,1.0986122886681098
N1023GA,20300.0,371.0,34.4275,-118.032,1,nan,nan,nan,0.6931471805599453
N1023LQ,5350.0,460.0,34.531,-117.913,1,nan,nan,nan,0.6931471805599453
N1023NM,7562.5,460.0,34.50895,-117.936,2,nan,nan,nan,1.0986122886681098
N1024DK,6625.0,460.0,34.7002,-118.044,1,nan,nan,nan,0.6931471805599453
N1024E,9900.0,460.0,34.622,-118.362,1,AERONCA,7AC,nan,0.6931471805599453
N1024LZ,22675.0,391.0,34.6543,-118.152,1,nan,nan,nan,0.6931471805599453
N1024M,17145.0,351.6,34.61764,-118.20219999999999,5,CESSNA,182P,OREGON,1.791759469228055
N1024PP,23550.0,343.0,34.5109,-117.999,1,nan,nan,nan,0.6931471805599453
N1024XW,12250.0,308.29411764705884,34.650682352941175,-118.21023529411765,17,nan,nan,nan,2.8903717578961645
N102536,8050.0,460.0,34.6015,-118.007,1,nan,nan,nan,0.6931471805599453
N102537,8450.0,460.0,34.5446,-118.26,1,nan,nan,nan,0.6931471805599453
N10254,9350.0,460.0,34.6299,-118.108,1,GRUMMAN,G-164,TEXAS,0.6931471805599453
N10254B,12600.0,460.0,34.7424,-118.112,0,nan,nan,nan,0.0
N10256V,21775.0,460.0,34.8244,-118.248,1,nan,nan,nan,0.6931471805599453
N1025CK,10437.5,460.0,34.5577,-118.1045,2,nan,nan,nan,1.0986122886681098
N1025LL,20900.0,380.0,34.4437,-118.443,2,nan,nan,nan,1.0986122886681098
N1025RS,4133.333333333333,436.53333333333336,34.66296666666667,-118.02153333333332,15,nan,nan,nan,2.772588722239781
N1025WN,5650.0,212.25,34.607325,-118.0685,4,nan,nan,nan,1.6094379124341003
N1025WR,3300.0,460.0,34.7221,-118.181,1,nan,nan,nan,0.6931471805599453
N1025YS,19450.0,281.0,34.6098,-118.099,1,nan,nan,nan,0.6931471805599453
N1025YV,12090.625,372.625,34.767925,-118.26175,8,nan,nan,nan,2.1972245773362196
N10262R,23800.0,387.0,34.6837,-118.306,1,nan,nan,nan,0.6931471805599453
N1026RF,6900.0,460.0,34.6171,-118.101,1,nan,nan,nan,0.6931471805599453
N1026XQ,30987.5,460.0,34.7183,-118.332,2,nan,nan,nan,1.0986122886681098
N1026XS,12550.0,460.0,34.4891,-118.377,1,nan,nan,nan,0.6931471805599453
N1026XY,26337.5,460.0,34.757999999999996,-118.57249999999999,2,nan,nan,nan,1.0986122886681098
N1026YQ,26937.5,460.0,34.6969,-118.55799999999999,2,nan,nan,nan,1.0986122886681098
N102805,9350.0,460.0,34.6315,-118.064,1,nan,nan,nan,0.6931471805599453
N10280R,9300.0,460.0,34.6911,-118.137,1,nan,nan,nan,0.6931471805599453
N10280U,9300.0,460.0,34.553,-117.83,1,nan,nan,nan,0.6931471805599453
N102839,8037.5,406.5,34.63381666666667,-118.11333333333334,6,nan,nan,nan,1.9459101490553132
N10284,6037.5,349.5,34.6609,-118.05850000000001,2,MAULE,MX-7-180B,MARYLAND,1.0986122886681098
N1028BW,9725.0,239.0,34.8164,-117.854,1,nan,nan,nan,0.6931471805599453
N1028BX,28887.5,378.5,34.6435,-117.894,2,nan,nan,nan,1.0986122886681098
N1029FZ,5416.666666666667,460.0,34.70366666666667,-118.142,6,nan,nan,nan,1.9459101490553132
N102BQ,7850.0,297.0,34.5684,-118.346,1,GULFSTREAM AEROSPACE,G-IV,TEXAS,0.6931471805599453
N102DU,26650.0,486.0,34.6666,-118.224,7,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,UTAH,2.0794415416798357
N102JE,40200.0,460.0,34.9373,-118.178,1,GULFSTREAM AEROSPACE,G-IV,UTAH,0.6931471805599453
N102NN,23387.5,495.0,34.411475,-117.58925,4,AIRBUS,A321-231,UTAH,1.6094379124341003
N102NV,29775.0,526.2,34.663560000000004,-118.46,5,nan,nan,OKLAHOMA,1.791759469228055
N102UW,30841.666666666668,515.0,34.6648,-118.28766666666667,3,AIRBUS INDUSTRIE,A320-214,UTAH,1.3862943611198906
N102VP,21012.5,460.0,34.650999999999996,-118.14150000000001,2,CESSNA,560,CALIFORNIA,1.0986122886681098
N1032G,26950.0,460.0,34.64676666666667,-118.12433333333333,3,PIPER AIRCRAFT INC,PA46-500TP,CALIFORNIA,1.3862943611198906
N103BZ,15287.5,460.0,34.613749999999996,-118.2375,2,CESSNA,560,CALIFORNIA,1.0986122886681098
N103DU,25770.58823529412,470.4117647058824,34.61362352941177,-118.3504705882353,17,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,GEORGIA,2.8903717578961645
N103DY,21000.0,504.0,34.3557,-117.683,1,AIRBUS,A321-211,UTAH,0.6931471805599453
N103NN,25187.5,517.0,34.543800000000005,-117.368,2,AIRBUS,A321-231,DELAWARE,1.0986122886681098
N103SY,33729.166666666664,486.1666666666667,34.62201666666667,-118.20400000000001,6,EMBRAER S A,ERJ 170-200 LR,UTAH,1.9459101490553132
N1049A,28775.0,502.5,34.68535,-118.36075,4,BOEING,767-36N,NEW YORK,1.6094379124341003
N104DN,25425.0,492.5,34.464,-117.501,2,AIRBUS,A321-211,UTAH,1.0986122886681098
N104DU,14687.5,450.0,34.606899999999996,-118.1695,2,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,GEORGIA,1.0986122886681098
N104MF,11325.0,460.0,34.4586,-117.949,1,DONALD E ECCKER/RONALD D WILLI,RV-10,CALIFORNIA,0.6931471805599453
N104NN,23075.0,484.0,34.30245,-117.77775,4,AIRBUS,A321-231,UTAH,1.6094379124341003
N104QS,26816.666666666668,519.3333333333334,34.78143333333333,-118.30766666666666,3,BOMBARDIER INC,BD-700-1A11,OKLAHOMA,1.3862943611198906
N104R,17062.5,433.5,34.465149999999994,-118.257,2,CESSNA,750,DELAWARE,1.0986122886681098
N105BK,39491.666666666664,542.6666666666666,34.5102,-118.49033333333334,3,DASSAULT AVIATION,MYSTERE FALCON 900,CALIFORNIA,1.3862943611198906
N105CT,7475.0,460.0,34.757,-118.102,1,PARADISE USA LLC,PARADISE P-1 SLSA LW,FLORIDA,0.6931471805599453
N105DU,16825.0,414.8333333333333,34.650666666666666,-118.02933333333334,6,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,UTAH,1.9459101490553132
N105FE,16375.0,440.0,34.4774,-117.727,1,BOEING,767-300F,TENNESSEE,0.6931471805599453
N105NN,24239.285714285714,489.2857142857143,34.43224285714286,-117.53999999999999,7,AIRBUS,A321-231,UTAH,2.0794415416798357
N105SY,26064.583333333332,450.5833333333333,34.660425,-118.1355,12,EMBRAER S A,ERJ 170-200 LR,UTAH,2.5649493574615367
N105TM,16739.285714285714,403.7142857142857,34.528914285714286,-118.11585714285715,7,COMPAGNIE DAHER,TBM 700,DELAWARE,2.0794415416798357
N1060Y,7250.0,460.0,34.7626,-118.269,1,ADAMS BALLOON,A50S,nan,0.6931471805599453
N1066W,8350.0,315.0,34.5844,-118.275,1,GULFSTREAM AEROSPACE,G-IV (G400),TEXAS,0.6931471805599453
N1068K,12850.0,460.0,34.572179999999996,-118.0906,5,RAYTHEON AIRCRAFT COMPANY,C90A,ALABAMA,1.791759469228055
N106AT,6825.0,460.0,34.7259,-118.027,1,PIPER,PA-32R-300,CALIFORNIA,0.6931471805599453
N106CK,16562.5,454.5,34.60195,-118.06450000000001,2,DASSAULT AVIATION,FALCON 900EX,CONNECTICUT,1.0986122886681098
N106DN,25800.0,532.0,34.5633,-117.335,1,AIRBUS,A321-211,UTAH,0.6931471805599453
N106DU,13300.0,391.0,34.6194,-118.016,1,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,UTAH,0.6931471805599453
N106GK,17222.727272727272,472.09090909090907,34.610572727272725,-118.07018181818181,11,LEARJET INC,45,CALIFORNIA,2.4849066497880004
N106HP,10475.0,460.0,34.6731,-117.975,1,PIPER,PA-28-181,WISCONSIN,0.6931471805599453
N106JT,21100.0,428.0,34.4398,-117.975,1,CESSNA,525B,TEXAS,0.6931471805599453
N106KK,10525.0,460.0,34.5926,-118.191,1,AEROSPATIALE,AS 365 N2 DAUPHIN,OKLAHOMA,0.6931471805599453
N106NN,23640.625,476.75,34.4507,-117.526125,8,AIRBUS INDUSTRIE,A321-231,UTAH,2.1972245773362196
N106PC,18075.0,414.0,34.5873,-118.208,1,CESSNA,750,NEW YORK,0.6931471805599453
N106SY,31096.428571428572,487.2857142857143,34.67164285714286,-118.03085714285714,7,EMBRAER S A,ERJ 170-200 LR,UTAH,2.0794415416798357
N106TJ,16135.0,219.2,34.697739999999996,-118.21020000000001,5,CIRRUS DESIGN CORP,SR22,WASHINGTON,1.791759469228055
N10782,8400.0,460.0,34.5274,-118.163,1,CESSNA,T206H,CALIFORNIA,0.6931471805599453
N107MY,11375.0,460.0,34.5989,-118.342,1,CIRRUS DESIGN CORP,SR22T,NEVADA,0.6931471805599453
N107NN,23762.5,470.5,34.381249999999994,-117.6395,2,AIRBUS INDUSTRIE,A321-231,UTAH,1.0986122886681098
N107PJ,24875.0,432.5,34.6322,-118.1605,4,PILATUS AIRCRAFT LTD,PC-24,UTAH,1.6094379124341003
N107PT,31381.25,437.5833333333333,34.611558333333335,-117.979,12,CESSNA,525B,CALIFORNIA,2.5649493574615367
N107TD,12725.0,413.3333333333333,34.6018,-118.17466666666667,3,GULFSTREAM AEROSPACE,G-IV,INDIANA,1.3862943611198906
N107US,32975.0,525.0,35.0246,-118.593,2,AIRBUS INDUSTRIE,A320-214,TEXAS,1.0986122886681098
N1087S,8425.0,460.0,34.7441,-117.985,1,BEECH,B36TC,CALIFORNIA,0.6931471805599453
N1089,14850.0,397.2857142857143,34.620400000000004,-118.121,7,BOMBARDIER INC,BD-700-2A12,CALIFORNIA,2.0794415416798357
N108BZ,24550.0,463.1666666666667,34.4782,-118.04733333333333,6,EMBRAER,ERJ 190-100 IGW,DELAWARE,1.9459101490553132
N108DN,24675.0,486.5,34.3288,-117.566,2,AIRBUS,A321-211,GEORGIA,1.0986122886681098
N108DQ,24907.0,469.08,34.662636,-118.24976000000001,25,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,UTAH,3.258096538021482
N108E,33850.0,470.0,34.6044,-117.729,1,TEXTRON AVIATION INC,525B,DELAWARE,0.6931471805599453
N108JE,26108.333333333332,459.6666666666667,34.55903333333333,-118.10566666666666,3,GULFSTREAM AEROSPACE,G-IV,UTAH,1.3862943611198906
N108KN,22000.0,435.5,34.57618333333333,-118.02566666666667,6,LEARJET INC,45,COLORADO,1.9459101490553132
N108MS,12885.0,379.2,34.5574,-118.2742,5,BOEING,737-7BC,NEVADA,1.791759469228055
N108NN,24685.0,486.6,34.47924,-117.46199999999999,5,AIRBUS INDUSTRIE,A321-231,TEXAS,1.791759469228055
N108SY,31858.333333333332,474.0,34.7349,-117.83733333333333,3,EMBRAER S A,ERJ 170-200 LR,UTAH,1.3862943611198906
N1099,21425.0,378.0,34.5876,-117.975,1,TEXTRON AVIATION INC,525,UTAH,0.6931471805599453
N109CH,18150.0,400.5,34.584900000000005,-117.703,2,GULFSTREAM AEROSPACE CORP,GVI (G650ER),NEVADA,1.0986122886681098
N109DN,21600.0,460.0,34.3583,-117.678,1,AIRBUS,A321-211,GEORGIA,0.6931471805599453
N109DU,23237.5,458.0,34.504599999999996,-117.6785,2,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,UTAH,1.0986122886681098
N109JG,4925.0,460.0,34.6534,-118.246,1,AMERICAN CHAMPION AIRCRAFT,8GCBC,OHIO,0.6931471805599453
N109NN,25450.0,480.6,34.44856,-117.52940000000001,5,AIRBUS INDUSTRIE,A321-231,UTAH,1.791759469228055
N109QS,38100.0,508.5,34.451350000000005,-118.269,2,BOMBARDIER INC,BD-700-1A11,OKLAHOMA,1.0986122886681098
N10FV,15741.666666666666,275.6666666666667,34.56366666666667,-117.95733333333334,3,HAWKER BEECHCRAFT CORP,B300,MONTANA,1.3862943611198906
N10H,17633.333333333332,416.0,34.65143333333333,-117.98533333333334,3,GULFSTREAM AEROSPACE,GV-SP (G550),CALIFORNIA,1.3862943611198906
N10HD,18545.833333333332,453.8333333333333,34.61255,-118.2715,6,BOMBARDIER INC,BD-700-1A10,CALIFORNIA,1.9459101490553132
N10HH,33225.0,530.5,34.4538,-118.094,2,TEXTRON AVIATION INC,750,MONTANA,1.0986122886681098
N10VW,7462.5,460.0,34.5719,-118.27199999999999,2,COMPAGNIE DAHER,TBM 700,DELAWARE,1.0986122886681098
N10XQ,26325.0,462.5,34.6266,-118.0475,2,ISRAEL AIRCRAFT INDUSTRIES,GULFSTREAM 200,ARIZONA,1.0986122886681098
N1102V,10625.0,460.0,34.6629,-118.33,1,RYAN,NAVION A,nan,0.6931471805599453
N1105C,5083.333333333333,460.0,34.675666666666665,-118.22699999999999,6,CESSNA,177B,CALIFORNIA,1.9459101490553132
N110AN,25908.333333333332,491.3333333333333,34.471466666666664,-117.4525,6,AIRBUS INDUSTRIE,A321-231,TEXAS,1.9459101490553132
N110DU,24285.0,452.6,34.69204,-118.43800000000002,5,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,UTAH,1.791759469228055
N110DX,22425.0,509.0,34.3299,-117.729,1,AIRBUS,A321-211,GEORGIA,0.6931471805599453
N110JS,36950.0,521.5,34.7178,-118.3205,2,BOEING,737-8,UTAH,1.0986122886681098
N110QS,17850.0,430.3333333333333,34.5183,-118.11166666666668,3,BOMBARDIER INC,BD-700-1A11,OHIO,1.3862943611198906
N110SY,31943.75,495.25,34.717575000000004,-117.97875,4,EMBRAER S A,ERJ 170-200 LR,UTAH,1.6094379124341003
N110UW,32705.0,515.2,34.590140000000005,-117.88,5,AIRBUS INDUSTRIE,A320-214,TEXAS,1.791759469228055
N1111S,19581.25,377.75,34.5898,-118.3755,4,TEXTRON AVIATION INC,525,CALIFORNIA,1.6094379124341003
N11131,7625.0,460.0,34.6279,-118.009,1,CESSNA,R182,CALIFORNIA,0.6931471805599453
N1114Z,23825.0,297.0,34.5428,-118.215,1,RAYTHEON AIRCRAFT COMPANY,C90A,CALIFORNIA,0.6931471805599453
N111AM,32950.0,546.0,34.9423,-118.817,1,GULFSTREAM AEROSPACE,G-V,MONTANA,0.6931471805599453
N111CA,20675.0,460.0,34.5997,-117.995,1,BEECH,F90,CALIFORNIA,0.6931471805599453
N111CC,20431.25,446.0,34.698925,-118.24549999999999,4,CANADAIR LTD,CL-600-2B16,DELAWARE,1.6094379124341003
N111GH,3575.0,460.0,34.5762,-118.2,1,BELL HELICOPTER TEXTRON CANADA,407,CALIFORNIA,0.6931471805599453
